mz,rt,Neutral_Operator_Dif_Pos_1x_O1_A,Neutral_Operator_Dif_Pos_1x_O1_B,Neutral_Operator_Dif_Pos_1x_O1_C,Neutral_Operator_Dif_Pos_1x_O2_A,Neutral_Operator_Dif_Pos_1x_O2_B,Neutral_Operator_Dif_Pos_1x_O2_C,Neutral_Operator_Dif_Pos_1x_O3_A,Neutral_Operator_Dif_Pos_1x_O3_B,Neutral_Operator_Dif_Pos_1x_O3_C,Neutral_Operator_Dif_Pos_2x_O1_A,Neutral_Operator_Dif_Pos_2x_O1_B,Neutral_Operator_Dif_Pos_2x_O1_C,Neutral_Operator_Dif_Pos_2x_O2_A,Neutral_Operator_Dif_Pos_2x_O2_B,Neutral_Operator_Dif_Pos_2x_O2_C,Neutral_Operator_Dif_Pos_2x_O3_A,Neutral_Operator_Dif_Pos_2x_O3_B,Neutral_Operator_Dif_Pos_2x_O3_C,Neutral_Operator_Dif_Pos_4x_O1_A,Neutral_Operator_Dif_Pos_4x_O1_B,Neutral_Operator_Dif_Pos_4x_O1_C,Neutral_Operator_Dif_Pos_4x_O2_A,Neutral_Operator_Dif_Pos_4x_O2_B,Neutral_Operator_Dif_Pos_4x_O2_C,Neutral_Operator_Dif_Pos_4x_O3_A,Neutral_Operator_Dif_Pos_4x_O3_B,Neutral_Operator_Dif_Pos_4x_O3_C
577.0322,0.5910416,1,1,1,24182,25857,24616,23745,25200,22516,20892,20410,20889,18700,19464,19742,29501,30306,30868,18529,20155,17994,19610,19431,18009,19752,19065,21395
539.0207,0.58933336,1,1,1,20686,24500,22820,20433,21096,20848,19644,19303,19511,16331,16335,15545,23324,26206,25557,17322,17639,16756,16590,17684,16298,16234,16979,18095
723.9585,0.599889,36270,35271,39355,57021,60641,61023,56742,58887,58843,47292,46413,45272,45693,45939,46768,69567,71779,73375,40814,43308,41044,47206,45294,43425,44833,47810,46698
525.3529,0.6085925,105305,92489,105189,141999,151657,144739,147296,149160,150210,119149,120266,116892,122500,104630,115871,164535,167172,170969,107184,114977,111975,121495,121158,116346,110525,113852,115897
482.9712,0.6058125,1,1,1,67760,73151,71789,71754,72481,71127,1,1,56088,1,60598,1,80653,81577,82473,52927,55106,1,55056,1,1,1,54603,59709
404.2655,0.6037692,1,30142,30043,49486,53582,50741,44306,46614,47453,40802,40414,40458,34776,38822,34820,59865,57234,63541,34947,34465,34425,35356,34992,34772,34731,36051,38291
1164.7386,0.6163333,27612,26675,28234,42633,43227,42883,43286,45732,45044,31607,31002,31789,33978,33725,33911,51114,52602,53155,29642,30002,30020,34038,34109,32219,32150,33210,33570
333.722,0.6112592,76912,74785,75215,125952,131983,129798,120157,123273,123682,100420,104912,97724,96307,96978,97650,151164,152482,154692,85824,87437,86288,96314,93499,88532,87196,90759,93565
262.9281,0.6109629,105767,105129,105648,151830,168109,159675,154747,157541,161687,125401,137097,125630,131752,130934,127147,180256,183533,188444,109121,117288,116920,123670,127074,120138,111578,117880,117259
432.7735,0.60744005,1,63679,56882,105449,108453,108597,116238,103039,117339,82825,81756,79805,1,73112,74592,129572,129462,146711,72325,88203,72345,86868,71941,88320,77962,80854,83427
